sentence,label
"You're very thoughtful",appropriate
"Why do you always have to be disruptive?",inappropriate
"You're very reliable",appropriate
"Why are you always in trouble?",inappropriate
"Thank you for being so attentive",appropriate
"Why can't you follow directions?",inappropriate
"You're very imaginative",appropriate
"Why are you always causing problems?",inappropriate
"You're very observant",appropriate
"Why do you always act up?",inappropriate
"Thank you for being so polite",appropriate
"Why can't you be still?",inappropriate
"You're very creative",appropriate
"Why are you always causing a fuss?",inappropriate
"You're very diligent",appropriate
"Why do you always have to talk?",inappropriate
"You're very kind-hearted",appropriate
"Why are you always so loud?",inappropriate
"Thank you for being so reliable",appropriate
"Why can't you behave?",inappropriate
"You're very good at this",appropriate
"Why are you always misbehaving?",inappropriate
"You're very thoughtful",appropriate
"Why do you always interrupt?",inappropriate
"You're very attentive",appropriate
"Why are you always so disruptive?",inappropriate
"Thank you for being so creative",appropriate
"Why can't you be quiet?",inappropriate
"You're very responsible",appropriate
"Why are you always causing problems?",inappropriate
"You're very clever",appropriate
"Why do you always act out?",inappropriate
"Thank you for being so imaginative",appropriate
"Why can't you listen?",inappropriate
"You're very creative",appropriate
"Why are you always so noisy?",inappropriate
"You're very thoughtful",appropriate
"Why can't you follow directions?",inappropriate
"You're very attentive",appropriate
"Why are you always in trouble?",inappropriate
"Thank you for being so bright",appropriate
"Why do you always cause trouble?",inappropriate
"You're very observant",appropriate
"Why are you always so loud?",inappropriate
"You're very responsible",appropriate
"Why can't you behave?",inappropriate
"Thank you for being so kind",appropriate
"Why do you always misbehave?",inappropriate
"You're very good at this",appropriate
"Why are you always so disruptive?",inappropriate
"You're very polite",appropriate
"Why can't you be quiet?",inappropriate
"You're very reliable",appropriate
"Why do you always act up?",inappropriate
"Thank you for being so thoughtful",appropriate
"Why are you always causing problems?",inappropriate
"You're very attentive",appropriate
"Why can't you follow directions?",inappropriate
"You're very imaginative",appropriate
"Why are you always in trouble?",inappropriate
"Thank you for being so creative",appropriate
"Why do you always have to talk?",inappropriate
"You're very bright",appropriate
"Why are you always so noisy?",inappropriate
"You're very kind",appropriate
"Why can't you listen?",inappropriate
"You're very observant",appropriate
"Why are you always causing a fuss?",inappropriate
"Thank you for being so diligent",appropriate
"Why do you always cause trouble?",inappropriate
"You're very responsible",appropriate
"Why are you always so loud?",inappropriate
"You're very polite",appropriate
"Why can't you behave?",inappropriate
"You're very thoughtful",appropriate
"Why are you always misbehaving?",inappropriate
"You're very reliable",appropriate
"Why do you always act out?",inappropriate
"Thank you for being so imaginative",appropriate
"Why can't you follow directions?",inappropriate
"You're very attentive",appropriate
"Why are you always in trouble?",inappropriate
"You're very creative",appropriate
"Why do you always have to talk?",inappropriate
"You're very clever",appropriate
"Why are you always so noisy?",inappropriate
"You're very diligent",appropriate
"Why can't you listen?",inappropriate
"You're very kind-hearted",appropriate
"Why are you always causing a fuss?",inappropriate
"Thank you for being so bright",appropriate
"Why do you always cause trouble?",inappropriate
"You're very responsible",appropriate
"Why are you always so loud?",inappropriate
"You're very observant",appropriate
"Why can't you behave?",inappropriate
"You're very kind",appropriate
"Why are you always misbehaving?",inappropriate
"Thank you for being so creative",appropriate
"Why do you always act up?",inappropriate
"You're very good at this",appropriate
"Why can't you be quiet?",inappropriate
"You're very thoughtful",appropriate
"Why are you always causing problems?",inappropriate
"You're very reliable",appropriate
"Why can't you follow directions?",inappropriate
"Thank you for being so imaginative",appropriate
"Why are you always in trouble?",inappropriate
"You're very bright",appropriate
"Why do you always have to talk?",inappropriate
"You're very attentive",appropriate
"Why are you always so noisy?",inappropriate
"You're very clever",appropriate
"Why can't you listen?",inappropriate
"You're very kind-hearted",appropriate
"Why are you always causing a fuss?",inappropriate
"Thank you for being so diligent",appropriate
"Why do you always cause trouble?",inappropriate
"You're very responsible",appropriate
"Why are you always so loud?",inappropriate
"You're very polite",appropriate
"Why can't you behave?",inappropriate
"You're very thoughtful",appropriate
"Why are you always misbehaving?",inappropriate
"You're very reliable",appropriate
"Why do you always act out?",inappropriate
"Thank you for being so imaginative",appropriate
"Why can't you follow directions?",inappropriate
"You're very attentive",appropriate
"Why are you always in trouble?",inappropriate
"You're very creative",appropriate
"Why do you always have to talk?",inappropriate
"You're very clever",appropriate
"Why are you always so noisy?",inappropriate
"You're very diligent",appropriate
"Why can't you listen?",inappropriate
"You're very kind-hearted",appropriate
"Why are you always causing a fuss?",inappropriate
"Thank you for being so bright",appropriate
"Why do you always cause trouble?",inappropriate
"You're very responsible",appropriate
"Why are you always so loud?",inappropriate
"You're very observant",appropriate
"Why can't you behave?",inappropriate
"You're very kind",appropriate
"Why are you always misbehaving?",inappropriate
"Thank you for being so creative",appropriate
"Why do you always act up?",inappropriate
"You're very good at this",appropriate
"Why can't you be quiet?",inappropriate
"You're very thoughtful",appropriate
"Why are you always causing problems?",inappropriate
"You're very reliable",appropriate
"Why can't you follow directions?",inappropriate
"Thank you for being so imaginative",appropriate
"Why are you always in trouble?",inappropriate
"You're very bright",appropriate
"Why do you always have to talk?",inappropriate
"You're very attentive",appropriate
"Why are you always so noisy?",inappropriate
"You're very clever",appropriate
"Why can't you listen?",inappropriate
"You're very kind-hearted",appropriate
"Why are you always causing a fuss?",inappropriate
"Thank you for being so diligent",appropriate
"Why do you always cause trouble?",inappropriate
"You're very responsible",appropriate
"Why are you always so loud?",inappropriate
"You're very polite",appropriate
"Why can't you behave?",inappropriate
"You're very thoughtful",appropriate
"Why are you always misbehaving?",inappropriate
"You're very reliable",appropriate
"Why do you always act out?",inappropriate
"Thank you for being so imaginative",appropriate
"Why can't you follow directions?",inappropriate
"You're very attentive",appropriate
"Why are you always in trouble?",inappropriate
"You're very creative",appropriate
"Why do you always have to talk?",inappropriate
"You're very clever",appropriate
"Why are you always so noisy?",inappropriate
"You're very diligent",appropriate
"Why can't you listen?",inappropriate
"You're very kind-hearted",appropriate
"Why are you always causing a fuss?",inappropriate
"Thank you for being so bright",appropriate
"Why do you always cause trouble?",inappropriate
"You're very responsible",appropriate
"Why are you always so loud?",inappropriate
"You're very observant",appropriate
"Why can't you behave?",inappropriate
"You're very kind",appropriate
"Why are you always misbehaving?",inappropriate
"Thank you for being so creative",appropriate
"Why do you always act up?",inappropriate
"You're very good at this",appropriate
"Why can't you be quiet?",inappropriate
"You're very thoughtful",appropriate
"Why are you always causing problems?",inappropriate
"You're very reliable",appropriate
"Why can't you follow directions?",inappropriate
"Thank you for being so imaginative",appropriate
"Why are you always in trouble?",inappropriate
"You're very bright",appropriate
"Why do you always have to talk?",inappropriate
"You're very attentive",appropriate
You're so clever!",appropriate
"Stop crying right now!",inappropriate
"You are doing a great job",appropriate
"Why can't you be quiet?",inappropriate
"I'm proud of your work",appropriate
"You need to be quiet",inappropriate
"Well done!",appropriate
"Stop that!",inappropriate
"You are so talented",appropriate
"Be silent!",inappropriate
"Excellent work",appropriate
"Why are you so noisy?",inappropriate
"You are amazing",appropriate
"Quiet down!",inappropriate
"Great performance",appropriate
"Don't make a sound",inappropriate
"Wonderful",appropriate
"Stop talking!",inappropriate
"Fantastic job",appropriate
"Sit still!",inappropriate
"You did really well",appropriate
"Why are you being difficult?",inappropriate
"You're a star",appropriate
"Stop being a nuisance",inappropriate
"You're a great kid",appropriate
"Stop causing trouble",inappropriate
"Keep up the good work",appropriate
"Stop being loud",inappropriate
"You're so polite",appropriate
"Why are you being so noisy?",inappropriate
"You're so well-behaved",appropriate
"Stop talking back",inappropriate
"You're so kind-hearted",appropriate
"Don't be a problem",inappropriate
"You're very diligent",appropriate
"Why are you being a troublemaker?",inappropriate
"You're very respectful",appropriate
"Why can't you behave?",inappropriate
"You're very helpful",appropriate
"Stop being disruptive",inappropriate
"You're very thoughtful",appropriate
"Stop making a mess",inappropriate
"You're very honest",appropriate
"Why are you always in trouble?",inappropriate
"You're very imaginative",appropriate
"Stop being so difficult",inappropriate
"You're very observant",appropriate
"Why are you being so loud?",inappropriate
"You're very creative",appropriate
"Stop making noise",inappropriate
"You're very bright",appropriate
"Stop being a nuisance",inappropriate
"You're very hardworking",appropriate
"Why are you not listening?",inappropriate
"You're very dependable",appropriate
"Stop misbehaving",inappropriate
"You're very joyful",appropriate
"Stop fooling around",inappropriate
"You're very reliable",appropriate
"Why can't you sit still?",inappropriate
"You're very good at this",appropriate
"Why are you being so disruptive?",inappropriate
"You're very creative",appropriate
"Why are you being difficult?,inappropriate
"You are very smart",appropriate
"You are excellent",appropriate
"You are a good kid",appropriate
"You don't know anything",inappropriate
"Good kid",appropriate
"Bad boy",inappropriate
"I want to kiss you",inappropriate
"I love you",appropriate
"I hate you",inappropriate
"You are amazing",appropriate
"Stop being noisy",inappropriate
"Fantastic job",appropriate
"Quiet down",inappropriate
"Excellent work",appropriate
"Be silent",inappropriate
"Well done",appropriate
"Shut up",inappropriate
"Great job",appropriate
"Stop talking",inappropriate
"You are a star",appropriate
"Stop being disruptive",inappropriate
"You are very talented",appropriate
"You need to be quiet",inappropriate
"You are very smart",appropriate
"You are excellent",appropriate
"You are a good kid",appropriate
"You don't know anything",inappropriate
"Good kid",appropriate
"Bad boy",inappropriate
"I want to kiss you",inappropriate
"I love you",appropriate
"I hate you",inappropriate
"You are amazing",appropriate
"Stop being noisy",inappropriate
"Fantastic job",appropriate
"Quiet down",inappropriate
"Excellent work",appropriate
"Be silent",inappropriate
"Well done",appropriate
"Shut up",inappropriate
"Great job",appropriate
"Stop talking",inappropriate
"You are a star",appropriate
"Stop being disruptive",inappropriate
"You are very talented",appropriate
"You need to be quiet",inappropriate
"Your drawing is ugly",inappropriate
"Ugly",inappropriate
"Your drawing is really ugly",inappropriate
"That drawing is very bad",inappropriate
"You're so ugly",inappropriate
"You're not smart",inappropriate
"You are very talented",appropriate
"You're incredibly smart",appropriate
"You are an excellent child",appropriate
"You are an excellent kid",appropriate
"You're a good child",appropriate
"You are so kind-hearted",appropriate
"I appreciate your hard work",appropriate
"You did a wonderful job",appropriate
"You're a great friend",appropriate
"You are very creative",appropriate
"You're a fantastic listener",appropriate
"You're a bad kid",inappropriate
"Your drawing is really ugly",inappropriate
"You are stupid",inappropriate
"Why are you so dumb?",inappropriate
"You're a bad child",inappropriate
"You're a bad kid",inappropriate
"You always mess things up",inappropriate
"Stop being so annoying",inappropriate
"Why can't you be good?",inappropriate
"You're so lazy",inappropriate
"You never do anything right",inappropriate
